# I. Barin, Thermochemical Data of Pure Substances, 3rd (Weinheim,
# New York, Basel, Cambridge, Tokyo, 1995)
#     Al     Ni    AlNi   AlNi3
300 24.324 26.100 45.982  98.157
400 25.780 28.467 47.363 101.378
500 27.002 30.863 49.744 104.600
600 28.093 34.772 50.124 107.822
700 29.283 30.835 51.505 111.043
800 30.843 31.129 52.886 114.265
900 33.057 31.966 54.266 117.487
1000 -1000 32.966 55.647 120.708
1100 -1000 33.927 57.028 123.930
1200 -1000 34.888 58.409 127.152
1300 -1000 35.723 59.789 130.373
1400 -1000 36.181 -2000  133.595
1500 -1000 36.192 -2000  136.817
1600 -1000 36.192 -2000  140.038
1700 -1000 36.192 -2000  142.229


#     Al    Ni     AlNi   AlNi3
#    kJ/mol
300  0.045  0.048  0.085  0.182
400  2.552  2.780  4.752  10.158
500  5.193  5.737  9.558 20.457
600  7.948  9.008 14.501 31.078
700 10.815 12.326 19.582 42.022
800 13.817 15.418 24.802 53.287
900 17.005 18.569 30.160 64.875
1000 -1000 21.817 35.655 76.784
1100 -1000 25.161 41.289 89.016
1200 -1000 28.602 47.061 101.570
1300 -1000 32.135 52.971 114.447
1400 -1000 35.734 -2000  127.645
1500 -1000 39.354 -2000  141.166
1600 -1000 42.973 -2000  155.088
1700 -1000 46.592 -2000  164.605
