   293                408.00     0.280      174.91     132.33                5.250      
   300                407.80     0.280      174.00     132.00                5.248      
   400                404.66     0.280      159.00     137.00                5.305      
   473                402.00     0.280      150.12     138.44                5.350      
   600                396.61     0.280      137.00     142.00                5.419      
   800                386.42     0.280      125.00     145.00                5.533      
   873                382.00     0.290      121.60     146.67                5.550      
  1000                374.36     0.290      118.00     148.00                5.646      
  1073                370.00     0.290      115.33     149.68                5.760      
  1200                360.69     0.290      113.00     152.00                5.700      
  1273                355.00     0.290      111.43     152.74                5.800      
  1473                340.00     0.290      108.39     156.17                5.920      
  1500                337.74     0.290      107.00     157.00                5.931      
  2000                295.17     0.230      100.00     167.00                6.215      
  2500                250.77     0.290      95.00      176.00                6.500
